CAPITAL FEDERAL|46| ONCE|Av. Rivadavia 2846|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:00|Cerrado|4861-6621|-34.610201|-58.407055
CAPITAL FEDERAL|18| ONCE|Hipolito Yrigoyen 3702|MINI|8:30 a 21:00|8:30 a 21:00|8:30 a 21:00|Cerrado|4932-3563|-34.614299|-58.418661799999995
CAPITAL FEDERAL|26| PALERMO|Cerviño 3515|MINI|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|Cerrado|4802-3970|-34.5803028|-58.40861430000001
CAPITAL FEDERAL|56| PALERMO|Honduras 3862|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|9:00 a 21:00|4861-8926|-34.594124|-58.417694
CAPITAL FEDERAL|24| PALERMO|Av. Scalabrini Ortiz 1688|SUPER|8:30 a 21:00|8:00 a 22:00|8:00 a 22:00|Cerrado|4831-2538|-34.590396|-58.424063
CAPITAL FEDERAL|151| PARQUE CHACABUCO|Asamblea 1100|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 14:00|4924-9451/9458|-34.635938|-58.441659
CAPITAL FEDERAL|153| PATERNAL|Av. Alvarez Jonte 2502|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|4585-9494/9495|-34.607475|-58.477396
CAPITAL FEDERAL|2| PATERNAL|Av. San Martín 2095|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 14:00|4585-2244|-34.604648|-58.45862
CAPITAL FEDERAL|63| POMPEYA|Av. Francisco Rabanal 1345|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|9:00 a 21:00|4919-0484|-34.6551014|-58.41715900000003
CAPITAL FEDERAL|6| POMPEYA|Av. La Plata 2392|MINI|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|Cerrado|4923-2590|-34.6424732|-58.42288989999997
CAPITAL FEDERAL|160| RETIRO|Av. Antartica Argentina 1160|HIPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|9:00 a 21:00|4312-4660|-34.583621|-58.375286
CAPITAL FEDERAL|181| SAAVEDRA|Av. Ricardo Balbín 4027|HIPER|8:30 a 21:00|8:30 a 22:00|8:30 a 22:00|9:00 a 21:00|4-544-7106/ 7146/ 7207|-34.554914|-58.487003
CAPITAL FEDERAL|7| SAN CRISTOBAL|Av. J. de Garay 2700|SUPER|8:30 a 20:30|8:30 a 21:00|8:30 a 21:00|Cerrado|4308-0071|-34.6288434|-58.40240030000001
CAPITAL FEDERAL|124| SAN CRISTOBAL|  Av. San Juan 2168|SUPER|8:30 a 22:00|8:30 a 22:30|8:30 a 22:30|9:00 a 14:00|4942-6228|-34.623022|-58.395842
CAPITAL FEDERAL|25| SAN TELMO|Perú 1496|SUPER|8:00 a 21:00|8:00 a 21:30|8:00 a 21:30|9:00 a 14:00|4362-5319|-34.625452|-58.374006
CAPITAL FEDERAL|82| VILLA CRESPO|Murillo 551|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 22:00|9:00 a 21:00|4857-6799|-34.600785|-58.441979
CAPITAL FEDERAL|168| VILLA CRESPO|Av. Corrientes 5748 |SUPER|8:30 a 21:30|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|4855-8067/8063|-34.595198|-58.44403
CAPITAL FEDERAL|52| VILLA DEVOTO|Sanabria 3320|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|Cerrado|4504-1343|-34.606286|-58.510373
CAPITAL FEDERAL|35| VILLA DEVOTO|Av. Lope de Vega 2503|MINI|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|Cerrado|4568-1952|-34.6183616|-58.51936749999999
CAPITAL FEDERAL|90| VILLA DEVOTO|Segurola 1701|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|8:30 a 21:30|4566-9750|-34.619662|-58.500238
